Country,Country Code,Series Name,Series Code,Year,FINI,CoHD_pov,CoHD,CoHD_headcount,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,id,goal3-achievementlevel,Code,Income_Group,Continent
Albania,ALB,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,38.6,0.97,3.04,24.3,6.69,6.66,9.334,20.0,0.03,12.22,79.047,15.99,99.93333333333334,96.0,ALB,81.94821428571429,ALB,Upper-middle-income countries,E. Europe & C. Asia
Albania,ALB,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,11.0,0.97,3.04,24.3,6.69,6.66,9.334,20.0,0.03,12.22,79.047,15.99,99.93333333333334,96.0,ALB,81.94821428571429,ALB,Upper-middle-income countries,E. Europe & C. Asia
Albania,ALB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,4.2,0.97,3.04,24.3,6.69,6.66,9.334,20.0,0.03,12.22,79.047,15.99,99.93333333333334,96.0,ALB,81.94821428571429,ALB,Upper-middle-income countries,E. Europe & C. Asia
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,6.57848787,0.97,3.04,24.3,6.69,6.66,9.334,20.0,0.03,12.22,79.047,15.99,99.93333333333334,96.0,ALB,81.94821428571429,ALB,Upper-middle-income countries,E. Europe & C. Asia
Albania,ALB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,2.77448845,0.97,3.04,24.3,6.69,6.66,9.334,20.0,0.03,12.22,79.047,15.99,99.93333333333334,96.0,ALB,81.94821428571429,ALB,Upper-middle-income countries,E. Europe & C. Asia
Albania,ALB,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,57.27444458,0.97,3.04,24.3,6.69,6.66,9.334,20.0,0.03,12.22,79.047,15.99,99.93333333333334,96.0,ALB,81.94821428571429,ALB,Upper-middle-income countries,E. Europe & C. Asia
Armenia,ARM,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,17.1,1.02,3.21,49.3,25.0,6.841,13.12,36.0,0.18,21.31,74.906,21.06,,96.0,ARM,76.42285714285715,ARM,Upper-middle-income countries,E. Europe & C. Asia
Armenia,ARM,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,1.2,1.02,3.21,49.3,25.0,6.841,13.12,36.0,0.18,21.31,74.906,21.06,,96.0,ARM,76.42285714285715,ARM,Upper-middle-income countries,E. Europe & C. Asia
Armenia,ARM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,2.5,1.02,3.21,49.3,25.0,6.841,13.12,36.0,0.18,21.31,74.906,21.06,,96.0,ARM,76.42285714285715,ARM,Upper-middle-income countries,E. Europe & C. Asia
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,10.36,1.02,3.21,49.3,25.0,6.841,13.12,36.0,0.18,21.31,74.906,21.06,,96.0,ARM,76.42285714285715,ARM,Upper-middle-income countries,E. Europe & C. Asia
Armenia,ARM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,1.37,1.02,3.21,49.3,25.0,6.841,13.12,36.0,0.18,21.31,74.906,21.06,,96.0,ARM,76.42285714285715,ARM,Upper-middle-income countries,E. Europe & C. Asia
Armenia,ARM,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,85.47,1.02,3.21,49.3,25.0,6.841,13.12,36.0,0.18,21.31,74.906,21.06,,96.0,ARM,76.42285714285715,ARM,Upper-middle-income countries,E. Europe & C. Asia
